Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,22,5280,855,1827,.468,262,728,.360,593,1099,.540,359,499,.719,239,709,948,465,138,116,276,417,2331
2,Boston Celtics,19,4585,747,1593,.469,275,764,.360,472,829,.569,298,367,.812,184,634,818,452,119,102,219,298,2067
3,Indiana Pacers,17,4130,761,1502,.507,208,559,.372,553,943,.586,206,276,.746,175,528,703,508,93,82,204,348,1936
4,Minnesota Timberwolves,16,3840,620,1326,.468,187,521,.359,433,805,.538,293,378,.775,170,509,679,383,116,73,195,333,1720
5,New York Knicks,13,3145,517,1142,.453,155,413,.375,362,729,.497,240,317,.757,175,382,557,293,74,70,146,232,1429
6,Denver Nuggets,12,2880,467,1022,.457,126,379,.332,341,643,.530,166,200,.830,119,391,510,299,77,51,144,216,1226
7,Cleveland Cavaliers,12,2880,449,1001,.449,124,394,.315,325,607,.535,155,204,.760,92,373,465,255,80,55,146,237,1177
8,Oklahoma City Thunder,10,2400,394,858,.459,121,340,.356,273,518,.527,148,185,.800,87,328,415,231,78,62,112,177,1057
9,Orlando Magic,7,1680,247,588,.420,72,233,.309,175,355,.493,136,176,.773,84,231,315,135,56,36,101,151,702
10,Milwaukee Bucks,6,1465,245,518,.473,67,189,.354,178,329,.541,104,127,.819,57,199,256,133,32,19,64,112,661
11,Philadelphia 76ers,6,1465,222,500,.444,81,214,.379,141,286,.493,124,148,.838,64,183,247,138,33,38,71,129,649
12,Los Angeles Clippers,6,1440,214,493,.434,71,190,.374,143,303,.472,103,130,.792,67,185,252,121,37,19,81,137,602
13,Los Angeles Lakers,5,1200,208,423,.492,44,147,.299,164,276,.594,72,94,.766,37,166,203,122,30,20,55,83,532
14,Miami Heat,5,1200,178,406,.438,56,170,.329,122,236,.517,49,60,.817,28,153,181,106,23,7,58,84,461
15,Phoenix Suns,4,960,141,303,.465,38,104,.365,103,199,.518,93,112,.830,29,101,130,79,30,17,57,93,413
16,New Orleans Pelicans,4,960,134,338,.396,35,131,.267,99,207,.478,55,64,.859,49,133,182,78,35,18,72,80,358
,League Average,10,2469,400,865,.462,120,342,.351,280,523,.535,163,209,.779,104,325,429,237,66,49,125,195,1083